Rank,Country,Alias,GNI per capita (US$),Year,Group,Group Rank
187,Madagascar,Madagascar,480,2020,Low-income,1
188,Mozambique,Mozambique,460,2020,Low-income,1
189,Somalia,Somalia,310,2020,Low-income,1
190,Burundi,Burundi,270,2020,Low-income,1
82,Guyana,Guyana,6600,2020,Upper-middle-income,3
83,Belarus,Belarus,6330,2020,Upper-middle-income,3
84,Bosnia and Herzegovina,Bosnia and Herzegovina,6090,2020,Upper-middle-income,3
85,Peru,Peru,6010,2020,Upper-middle-income,3
86,Tuvalu,Tuvalu,5820,2020,Upper-middle-income,3
87,Equatorial Guinea,Equatorial Guinea,5810,2020,Upper-middle-income,3
88,Colombia,Colombia,5780,2020,Upper-middle-income,3
89,North Macedonia,North Macedonia,5720,2020,Upper-middle-income,3
90,Ecuador,Ecuador,5530,2020,Upper-middle-income,3
91,Suriname,Suriname,5510,2020,Upper-middle-income,3
91,Lebanon,Lebanon,5510,2020,Upper-middle-income,3
93,South Africa,South Africa,5410,2020,Upper-middle-income,3
94,Albania,Albania,5210,2020,Upper-middle-income,3
95,Paraguay,Paraguay,5140,2020,Upper-middle-income,3
96,Marshall Islands,Marshall Islands,5010,2019,Upper-middle-income,3
97,Tonga,Tonga,5000,2019,Upper-middle-income,3
98,Libya,Libya,4850,2020,Upper-middle-income,3
99,Fiji,Fiji,4720,2020,Upper-middle-income,3
100,Iraq,Iraq,4660,2020,Upper-middle-income,3
101,Jamaica,Jamaica,4620,2020,Upper-middle-income,3
102,Moldova,Moldova,4570,2020,Upper-middle-income,3
103,Namibia,Namibia,4520,2020,Upper-middle-income,3
104,Guatemala,Guatemala,4490,2020,Upper-middle-income,3
105,Azerbaijan,Azerbaijan,4450,2020,Upper-middle-income,3
106,Kosovo,Kosovo,4440,2020,Upper-middle-income,3
107,Jordan,Jordan,4310,2020,Upper-middle-income,3
108,Georgia,Georgia,4290,2020,Upper-middle-income,3
109,Armenia,Armenia,4220,2020,Upper-middle-income,3
—,Bermuda (UK),Bermuda (UK),117740,2019,High-income,4
1,Liechtenstein,Liechtenstein,116440,2009,High-income,4
2,Switzerland,Switzerland,87950,2019,High-income,4
—,Isle of Man (UK),Isle of Man (UK),83160,2018,High-income,4
3,Norway,Norway,78250,2020,High-income,4
—,Macau (China),Macau (China),75610,2019,High-income,4
4,Iceland,Iceland,72930,2019,High-income,4
5,Luxembourg,Luxembourg,70930,2018,High-income,4
—,Cayman Islands (UK),Cayman Islands (UK),68200,2019,High-income,4
—,Channel Islands (UK),Channel Islands (UK),66220,2007,High-income,4
6,United States,United States,65910,2019,High-income,4
7,Ireland,Ireland,63530,2019,High-income,4
8,Denmark,Denmark,62720,2020,High-income,4
9,Qatar,Qatar,56210,2020,High-income,4
10,Singapore,Singapore,54920,2020,High-income,4
11,Sweden,Sweden,53800,2020,High-income,4
12,Australia,Australia,53730,2020,High-income,4
13,Netherlands,Netherlands,53060,2019,High-income,4
14,Austria,Austria,51440,2019,High-income,4
15,Finland,Finland,49620,2020,High-income,4
—,Hong Kong (China),Hong Kong,48630,2020,High-income,4
16,Belgium,Belgium,48010,2019,High-income,4
17,Germany,Germany,46990,2020,High-income,4
18,United Arab Emirates,United Arab Emirates,43470,2019,High-income,4
19,Canada,Canada,43440,2020,High-income,4
20,Israel,Israel,43070,2019,High-income,4
21,New Zealand,New Zealand,42450,2019,High-income,4
22,France,France,42330,2019,High-income,4
23,United Kingdom,United Kingdom,42130,2019,High-income,4
24,Japan,Japan,41580,2019,High-income,4
25,Kuwait,Kuwait,36290,2019,High-income,4
—,Greenland (Denmark),Greenland (Denmark),34800,2007,High-income,4
26,South Korea,South Korea,32860,2020,High-income,4
27,Brunei,Brunei,32230,2019,High-income,4
137,Ghana,Ghana,2230,2020,Lower-middle-income,2
137,Angola,Angola,2230,2020,Lower-middle-income,2
139,Honduras,Honduras,2200,2020,Lower-middle-income,2
140,São Tomé and Príncipe,São Tomé and Príncipe,2070,2020,Lower-middle-income,2
141,Bangladesh,Bangladesh,2010,2020,Lower-middle-income,2
142,Nigeria,Nigeria,2000,2020,Lower-middle-income,2
143,India,India,1900,2020,Lower-middle-income,2
144,Nicaragua,Nicaragua,1850,2020,Lower-middle-income,2
145,East Timor,East Timor,1830,2020,Lower-middle-income,2
145,Republic of the Congo,Republic of the Congo,1830,2020,Lower-middle-income,2
147,Kenya,Kenya,1760,2020,Lower-middle-income,2
148,Uzbekistan,Uzbekistan,1670,2020,Lower-middle-income,2
149,Mauritania,Mauritania,1640,2020,Lower-middle-income,2
150,Cameroon,Cameroon,1500,2020,Lower-middle-income,2
151,Cambodia,Cambodia,1490,2020,Lower-middle-income,2
152,Comoros,Comoros,1450,2020,Lower-middle-income,2
153,Senegal,Senegal,1430,2020,Lower-middle-income,2
154,Pakistan,Pakistan,1280,2020,Lower-middle-income,2
154,Benin,Benin,1280,2020,Lower-middle-income,2
156,Myanmar,Myanmar,1260,2020,Lower-middle-income,2
157,Haiti,Haiti,1250,2020,Lower-middle-income,2
158,Zambia,Zambia,1190,2020,Lower-middle-income,2
158,Nepal,Nepal,1190,2020,Lower-middle-income,2
160,Kyrgyzstan,Kyrgyzstan,1160,2020,Lower-middle-income,2
161,Lesotho,Lesotho,1100,2020,Lower-middle-income,2
162,Zimbabwe,Zimbabwe,1090,2020,Lower-middle-income,2
163,Tanzania,Tanzania,1080,2020,Lower-middle-income,2
164,Tajikistan,Tajikistan,1060,2020,Lower-middle-income,2
110,Samoa,Samoa,4070,2020,Lower-middle-income,2
111,Micronesia,Micronesia,4010,2019,Lower-middle-income,2
112,Belize,Belize,3970,2020,Lower-middle-income,2
113,Indonesia,Indonesia,3870,2020,Lower-middle-income,2
114,Sri Lanka,Sri Lanka,3720,2020,Lower-middle-income,2
115,Palestine,Palestine,3710,2020,Lower-middle-income,2
116,Mongolia,Mongolia,3670,2020,Lower-middle-income,2
117,El Salvador,El Salvador,3650,2020,Lower-middle-income,2
118,Eswatini,Eswatini,3580,2020,Lower-middle-income,2
119,Algeria,Algeria,3550,2020,Lower-middle-income,2
120,Ukraine,Ukraine,3540,2020,Lower-middle-income,2
121,Philippines,Philippines,3430,2020,Lower-middle-income,2
122,Djibouti,Djibouti,3320,2020,Lower-middle-income,2
123,Bolivia,Bolivia,3200,2020,Lower-middle-income,2
124,Tunisia,Tunisia,3100,2020,Lower-middle-income,2
125,Cape Verde,Cape Verde,3060,2020,Lower-middle-income,2
126,Kiribati,Kiribati,3010,2020,Lower-middle-income,2
127,Egypt,Egypt,3000,2020,Lower-middle-income,2
128,Morocco,Morocco,2980,2020,Lower-middle-income,2
129,Iran,Iran,2870,2020,Lower-middle-income,2
130,Bhutan,Bhutan,2860,2020,Lower-middle-income,2
131,Vanuatu,Vanuatu,2780,2020,Lower-middle-income,2
132,Vietnam,Vietnam,2660,2020,Lower-middle-income,2
132,Papua New Guinea,Papua New Guinea,2660,2020,Lower-middle-income,2
134,Laos,Laos,2480,2020,Lower-middle-income,2
135,Solomon Islands,Solomon Islands,2300,2020,Lower-middle-income,2
136,Ivory Coast,Ivory Coast,2280,2020,Lower-middle-income,2
28,Italy,Italy,32200,2020,High-income,4
—,Turks and Caicos Islands (UK),Turks and Caicos Islands (UK),30700,2019,High-income,4
29,Spain,Spain,30360,2019,High-income,4
30,Bahamas,Bahamas,27780,2020,High-income,4
—,Sint Maarten (Netherlands),Sint Maarten (Netherlands),27680,2018,High-income,4
—,Aruba (Netherlands),Aruba (Netherlands),27120,2017,High-income,4
31,Cyprus,Cyprus,26110,2020,High-income,4
32,Slovenia,Slovenia,25940,2019,High-income,4
33,Malta,Malta,25370,2020,High-income,4
34,Estonia,Estonia,23250,2019,High-income,4
35,Bahrain,Bahrain,22170,2019,High-income,4
36,Portugal,Portugal,22000,2020,High-income,4
37,Saudi Arabia,Saudi Arabia,21930,2020,High-income,4
38,Czech Republic,Czech Republic,21930,2019,High-income,4
—,Puerto Rico (US),Puerto Rico (US),21740,2020,High-income,4
—,Curaçao (Netherlands),Curaçao (Netherlands),20370,2019,High-income,4
39,Greece,Greece,19710,2019,High-income,4
40,Lithuania,Lithuania,19020,2019,High-income,4
41,Slovakia,Slovakia,18700,2020,High-income,4
42,Latvia,Latvia,17740,2019,High-income,4
43,Saint Kitts and Nevis,Saint Kitts and Nevis,17400,2020,High-income,4
44,Nauru,Nauru,16630,2019,High-income,4
45,Hungary,Hungary,16530,2019,High-income,4
46,Palau,Palau,16500,2019,High-income,4
47,Uruguay,Uruguay,15830,2020,High-income,4
—,French Polynesia (France),French Polynesia (France),15770,2000,High-income,4
48,Trinidad and Tobago,Trinidad and Tobago,15410,2020,High-income,4
49,Poland,Poland,15270,2020,High-income,4
50,Barbados,Barbados,14460,2020,High-income,4
51,Antigua and Barbuda,Antigua and Barbuda,14250,2020,High-income,4
52,Croatia,Croatia,14190,2020,High-income,4
53,Oman,Oman,14150,2019,High-income,4
—,New Caledonia (France),New Caledonia (France),14020,2000,High-income,4
54,Chile,Chile,13470,2020,High-income,4
55,Seychelles,Seychelles,12720,2020,High-income,4
